Dataset,shift(1)!=0,shift(2)!=0,shift(3)!=0,low Top-1 Agreement,low Top-3 Agreement
IND-JLMIV+R-2020,0.7403846153846154,0.9230769230769231,0.9711538461538461,0.7403846153846154,1.0
ECLIPSE-2007,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
Metrics-Repo-2010,0.8947368421052632,0.9473684210526315,0.8947368421052632,0.8947368421052632,1.0
JIRA-HA-2019,0.8974358974358975,0.8974358974358975,0.9230769230769231,0.8974358974358975,1.0
JIRA-RA-2019,0.9047619047619048,0.9047619047619048,0.9285714285714286,0.9047619047619048,1.0
MA-SZZ-2020,0.7658536585365854,0.8634146341463415,0.8878048780487805,0.7658536585365854,0.975609756097561
IND-JLMIV+R-2020,0.6730769230769231,0.875,0.9326923076923077,0.6730769230769231,0.9903846153846154
ECLIPSE-2007,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Metrics-Repo-2010,0.8245614035087719,0.8245614035087719,0.9473684210526315,0.8245614035087719,1.0
JIRA-HA-2019,0.7948717948717948,0.9487179487179487,0.9230769230769231,0.7948717948717948,1.0
JIRA-RA-2019,0.8095238095238095,0.8095238095238095,0.8571428571428571,0.8095238095238095,0.9285714285714286
MA-SZZ-2020,0.7317073170731707,0.8536585365853658,0.8731707317073171,0.7317073170731707,0.926829268292683
IND-JLMIV+R-2020,0.7980769230769231,0.875,0.9230769230769231,0.7980769230769231,0.9807692307692307
ECLIPSE-2007,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
Metrics-Repo-2010,0.8596491228070176,0.9122807017543859,0.9473684210526315,0.8596491228070176,1.0
JIRA-HA-2019,0.8717948717948718,0.9487179487179487,0.8717948717948718,0.8717948717948718,1.0
JIRA-RA-2019,0.8571428571428571,0.9047619047619048,0.9047619047619048,0.8571428571428571,1.0
MA-SZZ-2020,0.7902439024390244,0.9073170731707317,0.8975609756097561,0.7902439024390244,0.975609756097561
IND-JLMIV+R-2020,0.7692307692307693,0.9038461538461539,0.9326923076923077,0.7692307692307693,0.9807692307692307
ECLIPSE-2007,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0
Metrics-Repo-2010,0.7017543859649122,0.9298245614035088,0.9122807017543859,0.7017543859649122,0.8947368421052632
JIRA-HA-2019,0.7435897435897436,0.7435897435897436,0.8205128205128205,0.7435897435897436,0.8717948717948718
JIRA-RA-2019,0.6904761904761905,0.8809523809523809,0.8571428571428571,0.6904761904761905,0.9285714285714286
MA-SZZ-2020,0.6146341463414634,0.7853658536585366,0.8439024390243902,0.6146341463414634,0.8
IND-JLMIV+R-2020,0.6057692307692307,0.7788461538461539,0.8365384615384616,0.6057692307692307,0.8461538461538461
ECLIPSE-2007,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666
Metrics-Repo-2010,0.6842105263157895,0.8245614035087719,0.8771929824561403,0.6842105263157895,0.9298245614035088
JIRA-HA-2019,0.5384615384615384,0.717948717948718,0.9230769230769231,0.5384615384615384,0.8974358974358975
JIRA-RA-2019,0.7380952380952381,0.9047619047619048,0.8571428571428571,0.7380952380952381,0.9285714285714286
MA-SZZ-2020,0.4926829268292683,0.7170731707317073,0.7658536585365854,0.4926829268292683,0.775609756097561
IND-JLMIV+R-2020,0.6442307692307693,0.7596153846153846,0.7403846153846154,0.6442307692307693,0.8557692307692307
ECLIPSE-2007,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0
Metrics-Repo-2010,0.8596491228070176,0.9473684210526315,0.9122807017543859,0.8596491228070176,0.9649122807017544
JIRA-HA-2019,0.8461538461538461,0.9743589743589743,0.9487179487179487,0.8461538461538461,0.9743589743589743
JIRA-RA-2019,0.8809523809523809,0.9047619047619048,0.9761904761904762,0.8809523809523809,1.0
MA-SZZ-2020,0.7463414634146341,0.8682926829268293,0.9317073170731708,0.7463414634146341,0.9804878048780488
IND-JLMIV+R-2020,0.9230769230769231,0.9134615384615384,0.9230769230769231,0.9230769230769231,0.9903846153846154
ECLIPSE-2007,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0
Metrics-Repo-2010,0.7543859649122807,0.9122807017543859,0.9122807017543859,0.7543859649122807,0.9473684210526315
JIRA-HA-2019,0.7692307692307693,0.8717948717948718,0.9230769230769231,0.7692307692307693,1.0
JIRA-RA-2019,0.8571428571428571,0.9523809523809523,0.9285714285714286,0.8571428571428571,1.0
MA-SZZ-2020,0.6829268292682927,0.848780487804878,0.8341463414634146,0.6829268292682927,0.8975609756097561
IND-JLMIV+R-2020,0.7596153846153846,0.9038461538461539,0.9038461538461539,0.7596153846153846,0.9807692307692307
ECLIPSE-2007,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0
Metrics-Repo-2010,0.631578947368421,0.7368421052631579,0.8596491228070176,0.631578947368421,0.9649122807017544
JIRA-HA-2019,0.717948717948718,0.8717948717948718,0.8974358974358975,0.717948717948718,0.9743589743589743
JIRA-RA-2019,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8333333333333334
MA-SZZ-2020,0.5658536585365853,0.7268292682926829,0.8,0.5658536585365853,0.8634146341463415
IND-JLMIV+R-2020,0.7211538461538461,0.7980769230769231,0.9326923076923077,0.7211538461538461,0.9423076923076923
ECLIPSE-2007,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0
Metrics-Repo-2010,0.5087719298245614,0.6842105263157895,0.8070175438596491,0.5087719298245614,0.7192982456140351
JIRA-HA-2019,0.41025641025641024,0.5897435897435898,0.717948717948718,0.41025641025641024,0.7692307692307693
JIRA-RA-2019,0.40476190476190477,0.6666666666666666,0.7380952380952381,0.40476190476190477,0.6666666666666666
MA-SZZ-2020,0.2731707317073171,0.47804878048780486,0.6048780487804878,0.2731707317073171,0.5121951219512195
IND-JLMIV+R-2020,0.34615384615384615,0.5096153846153846,0.7884615384615384,0.34615384615384615,0.7403846153846154
ECLIPSE-2007,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666
Metrics-Repo-2010,0.5614035087719298,0.8070175438596491,0.9298245614035088,0.5614035087719298,0.9122807017543859
JIRA-HA-2019,0.5128205128205128,0.717948717948718,0.8717948717948718,0.5128205128205128,0.8461538461538461
JIRA-RA-2019,0.4523809523809524,0.8095238095238095,0.8095238095238095,0.4523809523809524,0.8809523809523809
MA-SZZ-2020,0.4585365853658537,0.6390243902439025,0.6731707317073171,0.4585365853658537,0.6048780487804878
IND-JLMIV+R-2020,0.5865384615384616,0.625,0.7307692307692307,0.5865384615384616,0.7692307692307693
ECLIPSE-2007,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
Metrics-Repo-2010,0.5087719298245614,0.8245614035087719,0.8947368421052632,0.5087719298245614,0.8245614035087719
JIRA-HA-2019,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.6923076923076923,0.8717948717948718
JIRA-RA-2019,0.40476190476190477,0.6190476190476191,0.6666666666666666,0.40476190476190477,0.7380952380952381
MA-SZZ-2020,0.3902439024390244,0.47804878048780486,0.5951219512195122,0.3902439024390244,0.6439024390243903
IND-JLMIV+R-2020,0.5769230769230769,0.6730769230769231,0.75,0.5769230769230769,0.7884615384615384
ECLIPSE-2007,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0
Metrics-Repo-2010,0.45614035087719296,0.7368421052631579,0.8070175438596491,0.45614035087719296,0.8245614035087719
JIRA-HA-2019,0.6410256410256411,0.7435897435897436,0.717948717948718,0.6410256410256411,0.8717948717948718
JIRA-RA-2019,0.6190476190476191,0.8809523809523809,0.8095238095238095,0.6190476190476191,0.8809523809523809
MA-SZZ-2020,0.4292682926829268,0.7268292682926829,0.7902439024390244,0.4292682926829268,0.8536585365853658
IND-JLMIV+R-2020,0.46153846153846156,0.7884615384615384,0.8557692307692307,0.46153846153846156,0.7980769230769231
ECLIPSE-2007,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0
Metrics-Repo-2010,0.5614035087719298,0.8245614035087719,0.9298245614035088,0.5614035087719298,0.8421052631578947
JIRA-HA-2019,0.5128205128205128,0.6666666666666666,0.8461538461538461,0.5128205128205128,0.8974358974358975
JIRA-RA-2019,0.5714285714285714,0.7857142857142857,0.9523809523809523,0.5714285714285714,1.0
MA-SZZ-2020,0.5902439024390244,0.7560975609756098,0.8585365853658536,0.5902439024390244,0.8878048780487805
IND-JLMIV+R-2020,0.5961538461538461,0.7884615384615384,0.9134615384615384,0.5961538461538461,0.9326923076923077
ECLIPSE-2007,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0
Metrics-Repo-2010,0.47368421052631576,0.7368421052631579,0.7543859649122807,0.47368421052631576,0.9473684210526315
JIRA-HA-2019,0.6410256410256411,0.8205128205128205,0.8205128205128205,0.6410256410256411,0.8974358974358975
JIRA-RA-2019,0.5714285714285714,0.7380952380952381,0.7380952380952381,0.5714285714285714,0.7380952380952381
MA-SZZ-2020,0.6146341463414634,0.7414634146341463,0.7609756097560976,0.6146341463414634,0.8780487804878049
IND-JLMIV+R-2020,0.5384615384615384,0.7403846153846154,0.8557692307692307,0.5384615384615384,0.8942307692307693
